trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.9941736665004669}",35,0,-208.29781711079568,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9940653792612301}",25,0,-163.4190023149228,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-146.7815775600841,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9938458226961485}",25,0,-131.14388168644777,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,18,-17.83961876619736,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.9936222907491012}",20,0,-132.85056208863443,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.9935090342861342}",25,0,-105.04499044728759,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.9933947843142158}",20,0,-132.619453900314,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.9932795409475959}",20,0,-117.62556650804659,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.9931633043015177}",25,0,-143.21154479711365,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.993046074492218}",30,10,-128.37306714433132,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.9929278516369265}",20,0,-35.53728862933945,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-218.5641525664827,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
120,False,"{'a': 0.5, 'e': 0.9926884272622528}",20,0,-147.23643020474947,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
